Iteration,SampleCount,S_HZ_OPT_MAX,S_HZ_OPT_MAX_Weight
56,49,,
55,148,0.390557368541241,141
54,76,0.35730185753120974,59
53,33,0.4128155556535593,29
52,25,0.49171882430488034,21
51,116,0.2976082178847486,112
50,83,0.4075919252127911,70
49,142,0.3288287587041436,130
48,144,0.30201066434069385,132
47,204,0.3259187626947291,187
46,185,0.3154426073345649,157
45,53,0.3348951648397283,39
44,1214,0.21822917119302943,1212
43,142,0.2947236208762854,11
42,610,,
41,69,0.11705056538487446,4
40,1,,
39,3,,
38,1,,
37,7,0.20610214416443018,2
36,27,,
35,4,,
34,13,,
33,16,,
32,12,0.12001537545231988,2
31,51,0.1958716953785253,24
30,10,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
