Iteration,SampleCount,S_HZ_OPT_MAX,S_HZ_OPT_MAX_Weight
56,52,,
55,145,0.3160718704644611,141
54,70,0.2730970811002667,53
53,40,0.3215537859938232,30
52,26,0.32981443286776657,23
51,112,0.22722805162938517,110
50,91,0.2922820831347866,76
49,135,0.28987665128040896,129
48,153,0.2702133370624618,140
47,200,0.28289740780519057,191
46,180,0.29781668620718493,156
45,55,0.3500221638889373,40
44,1200,0.2128350614618857,1199
43,154,0.2344038824742891,10
42,608,0.22129518583460983,607
41,72,0.4981948314857092,4
40,1,,
39,3,,
38,1,,
37,6,0.10320360661153916,1
36,26,0.22160839673829683,25
35,6,,
34,13,,
33,16,,
32,12,0.5319775758438836,2
31,56,0.21515610856642994,29
30,5,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
