Iteration,SampleCount,S_HZ_OPT_MAX,S_HZ_OPT_MAX_Weight
56,53,,
55,149,0.3630164573162366,146
54,64,0.3604158168532186,52
53,40,0.45521411900395936,29
52,26,0.5313654252228057,22
51,113,0.3046775321288474,110
50,90,0.424606702308461,75
49,131,0.33365283061983,124
48,152,0.32411568382429057,134
47,204,0.35963983391152005,189
46,183,0.32719331969304627,157
45,55,0.3213023513365028,41
44,1209,,
43,142,0.30979213104467196,8
42,616,0.2621132863049042,613
41,66,0.15256109302941667,4
40,1,,
39,3,,
38,1,,
37,7,0.23807743869724907,2
36,24,,
35,7,,
34,13,,
33,16,,
32,12,0.12245033907921044,2
31,51,0.22862103730070477,24
30,10,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
