Iteration,SampleCount,S_HZ_OPT_MAX,S_HZ_OPT_MAX_Weight
56,48,0.9671064422978725,47
55,142,0.7222895092926657,133
54,84,0.8143118975736622,59
53,35,0.854386714223305,31
52,23,1.0791099341554526,21
51,122,0.7552670373669496,118
50,84,0.7752887752096539,77
49,124,0.8661206114603247,119
48,160,0.9970810446524215,137
47,209,0.9050594153009387,197
46,171,0.98066528964902,153
45,57,0.9480406710165123,39
44,1215,0.5609729336394528,1213
43,141,0.6254635043613095,11
42,605,,
41,74,0.8754045599913525,4
40,1,,
39,3,,
38,1,,
37,7,0.08471524191315738,2
36,26,,
35,5,,
34,13,,
33,16,,
32,12,0.9374218958317764,2
31,52,0.491459033091291,25
30,9,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
