Iteration,SampleCount,S_HZ_OPT_MAX,S_HZ_OPT_MAX_Weight
56,54,,
55,147,0.2153961987703071,145
54,64,0.17107783061748838,51
53,42,0.2005541775446748,30
52,25,0.25204392246261154,22
51,114,0.18908973652780245,111
50,87,0.3818129660406046,73
49,131,0.1840243567423436,122
48,155,0.20570060100477255,135
47,213,0.15812262226273116,199
46,168,0.2154626157704917,152
45,55,0.1283108859133853,36
44,1214,0.09927529463745348,1209
43,144,0.1169893649510656,10
42,608,0.10933977486914834,607
41,71,0.6244417325609303,3
40,2,,
39,3,,
38,1,,
37,7,0.07723338777901068,2
36,27,,
35,4,,
34,13,,
33,16,,
32,12,0.24284417798704516,2
31,55,0.0695383726288223,28
30,6,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
