Iteration,SampleCount,S_HZ_OPT_MAX,S_HZ_OPT_MAX_Weight
56,52,0.6697342167139403,51
55,149,0.4001097830164445,144
54,71,0.37692182229837795,57
53,30,0.4226805736299258,24
52,33,0.517481972721107,24
51,118,0.3008336471848218,117
50,82,0.40226361811500666,74
49,141,0.3342434804372621,133
48,146,0.3094051974780593,137
47,205,0.3527341452617396,193
46,172,0.3148834493761931,150
45,61,0.34833653224482375,40
44,1202,0.21786675148398413,1201
43,151,0.31229703600227926,9
42,605,0.23264059056039518,603
41,76,0.14014129215639715,4
40,1,,
39,3,,
38,1,,
37,7,0.1661417591823775,2
36,26,,
35,5,,
34,13,,
33,16,,
32,11,0.08814155458214978,1
31,57,0.20309921062157738,29
30,5,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
