Iteration,SampleCount,S_HZ_OPT_MAX,S_HZ_OPT_MAX_Weight
56,49,0.49095267872150705,48
55,148,0.2678994414768578,140
54,73,0.46145817935438693,55
53,34,0.15535956288163366,26
52,28,0.4807900287109053,21
51,118,0.5804165125331414,114
50,87,5389754.318701041,76
49,133,0.6740229200583036,127
48,150,0.16147387275140782,135
47,208,0.027213010885870026,194
46,172,1.0375292801111307,151
45,60,0.9452283556610802,40
44,1221,0.6038072221470713,1220
43,133,0.6496935039190995,10
42,604,0.5878007470816952,603
41,76,0.7665957739331091,4
40,1,,
39,3,,
38,1,,
37,7,0.025783011837183456,2
36,25,,
35,6,,
34,13,,
33,16,,
32,12,0.8253371686061892,2
31,53,0.6200745573265661,26
30,8,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
