Iteration,SampleCount,S_HZ_OPT_MAX,S_HZ_OPT_MAX_Weight
56,49,0.7351116450068214,48
55,151,0.37206556572320215,143
54,70,0.36755156602064387,55
53,37,0.42533086018045835,29
52,28,0.4945992811145797,24
51,110,0.29341843106764487,109
50,92,0.40419663658581373,76
49,133,0.3142161647636509,127
48,153,0.32005373550203775,138
47,205,0.35770988943265564,194
46,178,0.3233401514701848,157
45,53,0.3230463281224254,39
44,1224,0.22072959190542096,1222
43,131,0.28696668717819995,10
42,590,0.22862932920723547,589
41,89,0.12683389999204442,3
40,2,,
39,3,,
38,1,,
37,7,0.18198220548769117,2
36,24,,
35,7,,
34,13,,
33,16,,
32,12,0.13687395360981003,2
31,55,0.20802440135342584,28
30,6,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
