Iteration,SampleCount,S_HZ_OPT_MAX,S_HZ_OPT_MAX_Weight
56,46,,
55,151,0.7323695454691762,141
54,71,0.8449701547080122,54
53,38,0.8084348353068835,29
52,27,0.8843333845919599,23
51,115,0.7504905616450689,113
50,85,0.7851357560842263,73
49,142,0.8520405972978435,133
48,138,0.979761060765839,129
47,220,0.9006726671310152,200
46,167,0.9716112122106462,152
45,59,0.9370545812625628,40
44,1215,0.5634890873840952,1214
43,138,0.6634353072398966,9
42,602,0.5828113183788317,600
41,79,0.8893303086529549,4
40,1,,
39,3,,
38,1,,
37,7,0.09862410576280278,2
36,26,,
35,5,,
34,13,,
33,16,,
32,12,0.9515256796431268,2
31,55,0.5618054417199342,28
30,6,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
