Iteration,SampleCount,S_HZ_OPT_MAX,S_HZ_OPT_MAX_Weight
56,52,,
55,147,0.7077438805763203,143
54,73,0.8230912540894406,58
53,35,0.8747001886274927,30
52,22,1.032113120730061,19
51,116,0.7696954462888967,110
50,95,0.7767508027642916,80
49,128,0.8257723598138459,126
48,147,0.988348334419065,131
47,207,0.9089251103624691,189
46,183,0.9860616370724217,157
45,49,0.9417033464324261,35
44,1221,0.565455566755901,1215
43,138,0.644099148323844,10
42,606,0.5855602405055349,605
41,73,0.8823481166655254,3
40,2,,
39,3,,
38,1,,
37,7,0.09191759557698775,2
36,25,,
35,6,,
34,13,,
33,16,,
32,12,0.9445048303549919,2
31,53,0.5855167250630673,26
30,8,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
