Iteration,SampleCount,S_HZ_OPT_MAX,S_HZ_OPT_MAX_Weight
56,51,,
55,142,0.149958114160584,137
54,81,0.030478763500000016,60
53,32,0.05046224068965516,29
52,28,0.03890552500000015,24
51,115,0.03724887421052631,114
50,81,0.044582084714285736,70
49,139,0.021961182700787393,127
48,148,0.030467792353383497,133
47,206,0.010752424473684224,190
46,172,0.009036896938775517,147
45,62,0.009490946842105255,38
44,1220,0.0073717443138866,1217
43,137,0.003275805454545442,11
42,618,,
41,60,0.0005181999999996911,3
40,2,,
39,3,,
38,1,,
37,7,0.006941700000000051,2
36,23,,
35,8,,
34,13,,
33,16,,
32,12,0.0,2
31,49,0.0005806409090909449,22
30,12,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
