Iteration,SampleCount,S_HZ_OPT_MAX,S_HZ_OPT_MAX_Weight
56,48,,
55,146,0.04353550302805203,138
54,75,0.030209865960883875,55
53,40,0.016766943359752155,32
52,25,0.03984685844310109,24
51,117,0.023576011690730484,116
50,82,0.03440508403144538,73
49,139,0.02136239997913246,130
48,141,0.017779028981097084,129
47,213,0.010365189378812091,193
46,178,0.008412991871093347,156
45,53,0.0095057566766827,38
44,1217,0.005570147056726464,1214
43,140,0.004302081172659425,11
42,601,,
41,78,0.006324987178719765,4
40,1,,
39,3,,
38,1,,
37,7,0.007926742558460265,2
36,24,,
35,7,,
34,13,,
33,16,,
32,12,0.005812261415269138,2
31,55,0.0035540004715160856,28
30,6,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
