Iteration,SampleCount,S_HZ_OPT_MAX,S_HZ_OPT_MAX_Weight
56,48,,
55,147,1.3342237649087394,139
54,75,0.26511472853820506,56
53,35,0.2803338927768191,28
52,29,0.22517046273650693,24
51,113,0.19844137463063036,112
50,91,0.3152022634514398,78
49,134,0.1611144671497473,130
48,147,0.17724952061542856,135
47,208,0.16956682063590914,194
46,170,0.14603068328952556,149
45,60,0.1671228842557301,38
44,1216,0.13533648085056801,1213
43,139,0.06239462514339097,9
42,609,0.11077834572656674,607
41,71,0.1342069881184509,3
40,2,,
39,3,,
38,1,,
37,7,0.15947104560654823,2
36,25,,
35,6,,
34,13,,
33,16,,
32,12,0.10922949091489809,2
31,53,0.04863541118253743,26
30,8,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
