Iteration,SampleCount,S_HZ_OPT_MAX,S_HZ_OPT_MAX_Weight
56,53,1.1318173672050371,51
55,140,0.985828995166105,135
54,79,1.1655014376955348,56
53,37,0.19380267674077423,30
52,26,0.2896206828294688,23
51,108,0.22066371863626566,106
50,92,0.3013231515554966,73
49,141,0.20707922489974728,132
48,152,0.22261653554921512,142
47,199,0.15718192452397275,192
46,169,0.10266966268503806,146
45,58,0.10156688315250817,33
44,1231,0.21051063388156738,1223
43,130,0.09236669523519592,10
42,617,0.09861488225878919,616
41,61,0.8362469480620016,2
40,3,,
39,3,,
38,1,,
37,7,0.023158816567579565,2
36,24,,
35,7,,
34,13,,
33,16,,
32,12,0.1533519861024335,2
31,49,0.05255022608500552,22
30,12,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
