Iteration,SampleCount,S_HZ_OPT_MAX,S_HZ_OPT_MAX_Weight
56,50,,
55,150,0.2626553768242341,144
54,70,0.30648850808821493,56
53,35,0.3534573001504246,28
52,29,0.31100826965413303,24
51,110,0.21919545984931835,109
50,93,0.3060367945793077,77
49,136,0.2859476560225986,131
48,144,0.27331976797196184,133
47,211,0.2789910226444784,195
46,171,0.3034398537665864,151
45,60,0.34687685786851047,40
44,1213,0.21234739215468257,1212
43,142,0.24774366980660126,11
42,598,,
41,81,0.5097118131187639,4
40,1,,
39,3,,
38,1,,
37,7,0.08508870126091428,2
36,26,,
35,5,,
34,13,,
33,16,,
32,11,0.6066615166049307,1
31,54,0.21804845556136357,26
30,8,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
