Iteration,SampleCount,S_HZ_OPT_MAX,S_HZ_OPT_MAX_Weight
56,52,0.5086604870122643,51
55,147,0.04048295753012076,142
54,68,0.01660676317855876,52
53,43,0.007208658799787882,32
52,24,0.005236850528000581,23
51,116,0.013086200812305607,114
50,86,2139787.5476732478,75
49,134,0.2896882397053481,127
48,141,1.0334822704485453,126
47,218,21.852192607402344,195
46,174,10266.91067084055,154
45,54,30200.980987588304,37
44,1219,7183.606161767795,1215
43,138,468.1931814063491,10
42,606,780.4662953216832,605
41,74,258.1868689920434,4
40,1,,
39,3,,
38,1,,
37,7,254.89193374015292,2
36,24,,
35,7,,
34,13,,
33,16,,
32,12,258.1225242807654,2
31,56,338.5509544510063,29
30,5,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
