Iteration,SampleCount,S_HZ_OPT_MAX,S_HZ_OPT_MAX_Weight
56,50,,
55,148,0.1015457058951488,142
54,73,0.04571235146706053,57
53,35,0.05344074390410565,29
52,23,0.06381947924273985,19
51,121,0.09229644627572775,115
50,86,0.13172237704567363,76
49,135,0.11733401220550771,129
48,143,0.07558640903520149,130
47,218,0.06781857367040806,199
46,171,0.03419675215627622,155
45,53,0.05610535095444729,37
44,1202,0.03289852368701532,1198
43,155,0.023243407105070762,10
42,614,0.03502250516099626,613
41,64,0.30055990772797014,2
40,3,,
39,3,,
38,1,,
37,7,0.06615665660431969,2
36,27,,
35,4,,
34,13,,
33,16,,
32,12,0.11446297515608594,2
31,53,0.016909160844729473,26
30,8,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
