Iteration,SampleCount,S_HZ_OPT_MAX,S_HZ_OPT_MAX_Weight
56,52,0.7034303430003935,51
55,154,1.1522742988458305,149
54,65,0.12844819700986504,56
53,38,0.2700385822773669,31
52,23,0.18958267384127597,21
51,116,0.21525762880724433,112
50,88,0.2832786177844236,75
49,132,0.2818126353353189,125
48,149,0.1493329907656565,132
47,215,0.12575633018557406,198
46,176,0.12581238916304957,159
45,49,0.11616388984699726,37
44,1197,0.08249995309194633,1193
43,161,0.13961380167534626,11
42,612,,
41,66,0.19637745701863926,3
40,2,,
39,3,,
38,1,,
37,7,0.08238734916223489,2
36,25,,
35,6,,
34,13,,
33,16,,
32,12,0.1448804670787549,2
31,52,0.05359145600967613,25
30,9,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
