Iteration,SampleCount,S_HZ_OPT_MAX,S_HZ_OPT_MAX_Weight
56,53,,
55,144,1.6891843959718468e-07,141
54,74,1.339794202014881e-07,57
53,36,1.3602033486492804e-06,30
52,23,2.689680948131379e-07,20
51,117,0.002457782660402728,112
50,91,0.7861172976859512,78
49,128,0.8453344177537893,124
48,148,1.013138551180604,130
47,211,0.8858329583618474,192
46,175,0.9876049196208945,152
45,55,0.9055465021789418,36
44,1230,0.5580166098792525,1225
43,127,0.5715564986687451,9
42,600,0.5906240173744893,598
41,81,0.8790663297840411,4
40,1,,
39,3,,
38,1,,
37,7,0.09016367585280882,2
36,27,,
35,4,,
34,13,,
33,16,,
32,12,0.9427462987726245,2
31,53,0.5262935270367007,26
30,8,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
