Iteration,SampleCount,S_HZ_OPT_MAX,S_HZ_OPT_MAX_Weight
56,50,,
55,150,0.2818279964004127,144
54,74,0.27400767279355764,60
53,31,0.31303587595670507,28
52,26,0.32690989089523614,21
51,114,0.22910871977710148,110
50,87,0.2917003861117118,72
49,138,0.2980989207982388,128
48,141,0.29381456886812185,127
47,220,0.28245936479111794,198
46,168,0.3111676888523124,151
45,60,0.3442128835126259,40
44,1206,0.2160313018761289,1205
43,148,0.24278856747234157,10
42,612,0.23281548630087398,611
41,68,0.5003056832000208,4
40,1,,
39,3,,
38,1,,
37,6,0.08277724621750981,1
36,28,0.23007569201111597,27
35,4,,
34,13,,
33,16,,
32,12,0.49386337120379076,2
31,56,0.21785739039442878,29
30,5,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
