Iteration,SampleCount,S_HZ_OPT_MAX,S_HZ_OPT_MAX_Weight
56,45,,
55,152,3.4541489647464253e-07,141
54,70,2.48119557956165e-07,53
53,42,2.0757144051416349e-07,32
52,23,5.587225408039536e-07,22
51,118,0.008213158024919464,115
50,80,0.7513570247933274,70
49,138,0.8488200230405826,126
48,152,0.9854599631061381,136
47,214,0.8878076685450744,201
46,170,0.9888353005403637,156
45,53,0.915963172180936,38
44,1203,0.5597096899665621,1200
43,153,0.5801552143818104,10
42,612,0.5861568150900169,611
41,68,0.894278219012147,4
40,1,,
39,3,,
38,1,,
37,7,0.10435649593542062,2
36,26,,
35,5,,
34,13,,
33,16,,
32,12,0.9573957530844908,2
31,55,0.5660627120805822,28
30,6,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
