Iteration,SampleCount,S_HZ_OPT_MAX,S_HZ_OPT_MAX_Weight
56,49,,
55,154,0.11316090809523811,147
54,70,0.04986981661016952,59
53,35,0.04113591193548392,31
52,25,0.07466801999999997,23
51,118,0.036065068448275873,116
50,85,0.036996223289473655,76
49,134,0.026344308695312513,128
48,147,0.030578834812030026,133
47,210,0.011578824845360837,194
46,168,0.009875353204081623,147
45,63,0.009990802820512788,39
44,1201,0.007738604053377823,1199
43,153,0.0025938888888888153,9
42,611,0.003827923448275862,609
41,70,0.003953399999999885,4
40,1,,
39,3,,
38,1,,
37,6,0.004553299999999982,1
36,28,0.0021962025925926737,27
35,4,,
34,13,,
33,16,,
32,12,0.0,2
31,52,0.0001610448000000231,25
30,9,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
