Iteration,SampleCount,S_HZ_OPT_MAX,S_HZ_OPT_MAX_Weight
56,51,,
55,148,0.04414731245181646,143
54,72,0.03167661011208843,57
53,35,0.01912359328710627,29
52,26,0.04694358009860877,22
51,109,0.024013817907303513,106
50,84,0.03353516591594522,65
49,143,0.023823458956650077,126
48,145,0.020961380003597607,129
47,219,0.011143502548276132,199
46,167,0.007227187317441117,151
45,57,0.009984016005830312,37
44,1221,0.006222081946849661,1217
43,134,0.005267553159442967,8
42,622,0.0062520201170621625,619
41,60,0.005229193186454428,4
40,1,,
39,3,,
38,1,,
37,7,0.011081782397749707,2
36,26,,
35,5,,
34,13,,
33,16,,
32,12,0.0062978568550358105,2
31,52,0.0036507166720108897,25
30,9,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
