Iteration,SampleCount,S_HZ_OPT_MAX,S_HZ_OPT_MAX_Weight
56,51,0.6399496633354871,50
55,154,0.3943520922605311,148
54,67,0.3726426822233959,57
53,36,0.4451661548272242,30
52,25,0.5890763677747779,22
51,117,0.26679249456995346,114
50,88,0.36964624714024735,77
49,130,0.3381944709771354,125
48,146,0.3267804554897484,129
47,215,0.3615094482121756,195
46,172,0.32817547932948504,152
45,53,0.32112865559852627,34
44,1207,0.24314010688252527,1200
43,152,0.30584862334546425,9
42,617,0.24313571279084048,615
41,64,0.14921740300677788,4
40,1,,
39,3,,
38,1,,
37,6,0.23399139560360194,1
36,28,0.23266268510031451,27
35,4,,
34,13,,
33,16,,
32,12,0.1484213715760423,2
31,55,0.2199696810740717,28
30,6,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
