Iteration,SampleCount,S_HZ_OPT_MAX,S_HZ_OPT_MAX_Weight
56,52,0.7468898452596138,51
55,154,0.11437597424906565,149
54,67,0.042840441741477,58
53,36,0.07987068911361378,31
52,26,0.13703275616473745,24
51,111,0.07278572207670506,110
50,91,0.15577584302374065,76
49,136,0.08767126831813726,130
48,145,0.06714355303626095,133
47,214,0.0703825084801509,198
46,171,0.042946076003459954,154
45,57,0.058070760503315125,40
44,1196,0.03572743204074963,1195
43,158,0.022708645069966605,10
42,601,0.026365858227607925,600
41,78,0.015248975829302699,3
40,2,,
39,3,,
38,1,,
37,7,0.03461969886247651,2
36,27,,
35,4,,
34,13,,
33,16,,
32,12,0.05235065613089729,2
31,53,0.020510504152784496,26
30,8,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
