Iteration,SampleCount,S_HZ_OPT_MAX,S_HZ_OPT_MAX_Weight
56,51,,
55,151,0.08850372116438358,146
54,65,0.02743106471698115,53
53,39,0.041825312758620656,29
52,26,0.0804616872727271,22
51,115,0.03481401491071428,112
50,85,0.02741707527777775,72
49,145,0.031317081948148154,135
48,143,0.04879994833088235,136
47,204,0.015746079947643998,191
46,178,0.013006336500000005,154
45,54,0.009510485405405394,37
44,1195,0.0089695517884131,1191
43,162,0.0021851299999999575,10
42,623,0.0036966124598070945,622
41,55,0.0005181999999996911,2
40,3,,
39,3,,
38,1,,
37,7,0.0016480000000000938,2
36,23,,
35,8,,
34,13,,
33,16,,
32,12,0.0,2
31,55,0.0007383192857143125,28
30,6,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
