Iteration,SampleCount,S_HZ_OPT_MAX,S_HZ_OPT_MAX_Weight
56,52,0.5917337716432891,51
55,147,0.11381396228948416,142
54,75,0.043304177869724104,59
53,33,0.07758978048988027,29
52,24,0.15884762328553456,20
51,119,0.0584312198675007,114
50,86,0.17949701151002082,75
49,135,0.08605782399691049,128
48,154,0.0737928249209067,140
47,198,0.05285494678074087,189
46,182,0.044007817796601595,156
45,52,0.051760833741713155,37
44,1205,0.028418202022066793,1201
43,151,0.02667784297571224,9
42,611,0.03485622347360088,609
41,70,0.29224967528046175,4
40,1,,
39,3,,
38,1,,
37,7,0.02223017552643003,2
36,25,,
35,6,,
34,13,,
33,16,,
32,12,0.017501808722284462,2
31,54,0.02041574303820118,27
30,7,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
