Iteration,SampleCount,S_HZ_OPT_MAX,S_HZ_OPT_MAX_Weight
56,48,,
55,153,0.09186808634482757,145
54,69,0.03418882642857146,56
53,33,0.11235425269230767,26
52,32,0.12607829199999993,25
51,106,,
50,91,0.040199550138888866,72
49,144,0.028048105992537292,134
48,143,0.02832426461481485,135
47,206,0.013669614635416692,192
46,176,0.011039614908496736,153
45,52,0.008035688235294079,34
44,1220,0.008014311121187135,1213
43,140,0.001877120000000032,10
42,613,0.004998854493464066,612
41,66,0.15863960000000002,3
40,2,,
39,3,,
38,1,,
37,7,0.0012929999999999886,2
36,25,,
35,6,,
34,13,,
33,16,,
32,12,0.0,2
31,52,0.00025597920000001827,25
30,9,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
