Iteration,SampleCount,S_ABIO_ZONE,S_ABIO_ZONE_Weight
56,51,1.399159311859376,50
55,142,0.908495578331936,136
54,81,0.6659848835988309,59
53,35,0.3068829754072654,31
52,25,0.7133876431768423,23
51,108,0.5905255847204574,106
50,89,0.7699212019119409,70
49,140,0.6802039336563364,128
48,147,0.6364051865166613,133
47,214,0.607493564571005,198
46,171,0.48493997745590844,153
45,54,0.4132004659418296,36
44,1219,0.5546458525550765,1214
43,139,0.5506637421060169,10
42,674,,
41,5,0.160260508442144,4
40,1,,
39,3,,
38,1,,
37,7,,
36,28,,
35,3,1.1764658987368142,1
34,13,0.8155212732609348,4
33,14,0.46280473185466126,8
32,14,0.8369530991088808,2
31,54,0.5453427337447454,13
30,7,,
29,9,,
28,4,,
27,13,0.7282333348948775,1
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
