Iteration,SampleCount,S_ABIO_ZONE,S_ABIO_ZONE_Weight
58,65,,
57,167,4.02764962473913,161
56,92,9.216567364972972,74
55,53,3.3483279567608695,46
54,33,2.392672630382143,28
53,139,283214955882356.5,136
52,147,1.7292360840076335,131
51,204,1.8077376403775927,189
50,209,1.2365111591153846,182
49,262,2361809834710745.0,242
48,192,3.165471341463415e+23,164
47,64,421.3884441952273,44
46,1235,2.3164186307463415,1230
45,155,1.3318380318597,10
44,678,1.0416171,1
43.0,4.0,,
42.0,1.0,,
41.0,3.0,,
40.0,1.0,,
39,10,,
38.0,32.0,,
37,3,0.030862979000000002,1
36,17,0.74505504,4
35,20,1.6724722650000001,8
34,16,2.3231159395,2
33,61,3.029887777777778e+37,18
32,8,,
31,13,3061.950498133848,3
30,13,0.2586186814955823,2
29,19,1.2057201670802473,2
28,12,,
27,83,,
26,3,,
25,6,,
21.0,1.0,,
20.0,3.0,,
18.0,1.0,,
