Iteration,SampleCount,S_ABIO_ZONE,S_ABIO_ZONE_Weight
56,56,1.520224620355169,55
55,139,1.0278480190484662,138
54,77,0.7510689228456215,57
53,33,0.8699137945133899,27
52,28,0.7898565633838736,22
51,119,0.7844131250991266,116
50,80,1.053841601125422,71
49,138,1.0028831452415172,127
48,150,0.8194709045720583,135
47,208,0.8350670239844357,194
46,173,0.9286152848652294,151
45,54,0.7298214556603324,34
44,1216,0.8568301779746567,1209
43,144,0.5291450231190515,10
42,675,0.6056630369309493,1
41,4,,
40,1,,
39,3,,
38,1,,
37,7,,
36,28,,
35,3,0.3607140176306518,1
34,13,0.1632204876333263,4
33,14,0.6597946111767068,8
32,14,0.7151347481578133,2
31,54,0.6052863905217044,13
30,7,,
29,9,,
28,4,,
27,13,0.5515451011656034,1
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
