Iteration,SampleCount,S_ABIO_ZONE,S_ABIO_ZONE_Weight
56,54,1.9849667043396222,53
55,148,1.6134493308372881,145
54,65,1.7349414089683028,52
53,42,1.6478137801326724,31
52,23,1.3019782968584885,21
51,112,1.550618956770344,108
50,93,1.7748260606926016,76
49,132,1.3736267936346371,126
48,155,1.2451749324364378,139
47,208,1.3881616377418826,198
46,171,1.583840830007832,153
45,55,1.5061147298349984,37
44,1202,1.286856494097535,1198
43,154,1.4994289064769102,9
42,676,0.9197683188715255,1
41,3,,
40,2,,
39,3,,
38,1,,
37,7,,
36,28,,
35,3,1.9326577285690734,1
34,12,1.296904643814265,3
33,17,1.5241055239999999,10
32,12,2.2922529605,2
31,55,1.2367942803799377,14
30,6,,
29,9,,
28,4,,
27,12,,
26,7,,
25,67,,
23,3,,
19,1,,
16,1,,
