Iteration,SampleCount,S_ABIO_ZONE,S_ABIO_ZONE_Weight
56,55,1.5323204818260217,52
55,148,0.810338781573476,144
54,67,0.5701143788732058,53
53,40,0.4032961329901326,30
52,25,0.5609434732310447,22
51,106,0.5594745846216272,103
50,99,0.6364196947113162,77
49,138,0.4236785189729951,133
48,143,0.36809209256260933,134
47,210,0.3417466668713925,195
46,178,0.38524384089166863,157
45,50,0.3229061784700638,36
44,1210,0.4001872127902186,1205
43,147,0.3038007425518675,9
42,676,0.0018932090011336555,1
41,3,,
40,2,,
39,3,,
38,1,,
37,7,,
36,28,,
35,3,0.8277901122490252,1
34,13,0.2913477913619442,4
33,14,0.4779273101327471,8
32,14,0.1016784396404172,2
31,53,0.49671583664488067,12
30,8,,
29,9,,
28,4,,
27,13,0.6713566976176673,1
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
