Iteration,SampleCount,S_ABIO_ZONE,S_ABIO_ZONE_Weight
56,51,0.7523546303229147,49
55,150,0.20434019274608653,143
54,71,0.4536831049604427,56
53,37,0.3533072648914963,30
52,26,0.4326420832677368,23
51,114,0.30575578616782245,112
50,88,70061850.09497945,75
49,137,30.834024485175696,130
48,149,1.9696702210480077,137
47,200,5.535923130584835,188
46,182,1.6347131948474931,154
45,55,0.8170071104684508,38
44,1205,0.6754470337439639,1202
43,150,0.5842309070331426,9
42,676,0.03796431629989794,1
41,4,,
40,1,,
39,3,,
38,1,,
37,7,,
36,28,,
35,3,0.8359420755086628,1
34,12,0.8861477903240155,3
33,17,1.0140162804130533,10
32,11,0.7359244609698905,1
31,57,0.631328683874905,15
30,5,,
29,9,,
28,4,,
27,12,,
26,7,,
25,67,,
23,3,,
19,1,,
16,1,,
