Iteration,SampleCount,S_ABIO_ZONE,S_ABIO_ZONE_Weight
56,48,1.401913834309786,47
55,148,1.0851289931104238,139
54,72,0.7954594661239187,53
53,39,0.8092416992588708,29
52,29,0.7405564757146823,25
51,108,,
50,94,0.8950172088618733,77
49,136,0.8715106855141912,131
48,143,0.815972442413399,132
47,216,0.8504398420745021,199
46,173,0.8918942521600026,156
45,52,0.711247168394025,37
44,1206,0.8418452111651347,1202
43,150,0.41201720723094254,9
42,676,0.5045591343970544,1
41,4,,
40,1,,
39,3,,
38,1,,
37,7,,
36,28,,
35,3,0.5202769306623736,1
34,12,0.3829000044328814,3
33,16,0.7051130228882718,9
32,13,0.7711424359939382,2
31,56,0.5248472104023715,15
30,5,,
29,9,,
28,4,,
27,13,0.35012747455485016,1
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
