Iteration,SampleCount,S_ABIO_ZONE,S_ABIO_ZONE_Weight
56,48,,
55,149,0.494606699778766,141
54,76,0.44344734106507516,59
53,34,0.3211302330956582,30
52,25,0.38851145905978207,22
51,118,0.4758958340373469,115
50,83,0.6991190862963365,73
49,139,0.47817194928898127,130
48,148,0.48881424929170203,136
47,208,0.24992498119413561,195
46,174,0.2605836320412273,153
45,57,0.16633371407352823,39
44,1197,0.20759951470802762,1195
43,158,0.11367352388573657,10
42,675,1.5736573800693459,1
41,3,,
40,2,,
39,3,,
38,1,,
37,7,,
36,28,,
35,2,,
34,13,0.06253894281915344,3
33,17,0.48871317888042115,10
32,11,0.3147436313165901,1
31,56,0.3598693919798399,14
30,6,,
29,9,,
28,4,,
27,13,0.2501976025011641,1
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
