Iteration,SampleCount,S_ABIO_ZONE,S_ABIO_ZONE_Weight
56,48,2.307434967027916,47
55,148,0.88336681331622,139
54,75,0.8985299898931526,56
53,38,0.8582856663171656,31
52,21,0.6364337735969353,19
51,116,0.7415623041690454,110
50,90,1.0123592504473546,75
49,136,0.6415530092738886,129
48,146,0.5917256226383973,133
47,210,0.5355340790740932,194
46,173,0.5812329467232727,151
45,57,0.3953998381278612,37
44,1223,0.4178098055656782,1219
43,132,0.2329524945913321,8
42,677,1.0175457099344494,1
41,3,,
40,2,,
39,3,,
38,1,,
37,7,,
36,28,,
35,2,,
34,14,0.3130915662015833,4
33,16,0.44889661892227956,10
32,12,0.1558761823141145,2
31,52,0.35888760554285454,11
30,9,,
29,9,,
28,4,,
27,13,0.01843525392971035,1
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
