Iteration,SampleCount,S_ABIO_ZONE,S_ABIO_ZONE_Weight
56,50,,
55,150,0.3831846385277778,144
54,71,0.12634257719298245,57
53,35,0.1311988783793104,29
52,26,0.08218859492272729,22
51,115,0.18234020139285712,112
50,85,0.17521140941666666,72
49,138,0.08484233645937501,128
48,142,0.057286465609375,128
47,218,0.04705350805888324,197
46,174,0.0503996880387097,155
45,52,0.02484226055555558,36
44,1207,0.06711350196672215,1202
43,151,0.059427842599999954,10
42,675,0.0,1
41,4,,
40,1,,
39,3,,
38,1,,
37,7,,
36,28,,
35,3,0.0015722559999999906,1
34,13,0.01106211675000005,4
33,15,0.05717811077777763,9
32,13,0.0006389374999999971,2
31,56,0.027982445800000057,15
30,5,,
29,9,,
28,4,,
27,13,0.057922200000000146,1
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
