Iteration,SampleCount,S_ABIO_ZONE,S_ABIO_ZONE_Weight
56,48,1.1483066413186254,46
55,152,0.72886028019234,142
54,69,0.4634374523745307,53
53,38,0.47164120163124945,28
52,27,0.5205357755506017,22
51,117,0.5546166551905944,114
50,83,0.5644752997534697,72
49,137,0.390169230939853,127
48,156,0.36281079233483676,141
47,198,0.3380459857756389,190
46,176,0.4381943001373146,150
45,59,0.3545234912054351,38
44,1214,0.4075228310081101,1211
43,142,0.2852276392292383,10
42,675,0.041760253089950794,1
41,4,,
40,1,,
39,3,,
38,1,,
37,7,,
36,28,,
35,3,0.6099132758412369,1
34,13,0.4179247693574454,4
33,16,0.5457121557014318,10
32,12,0.18804471819881152,2
31,55,0.5057619524676271,14
30,6,,
29,9,,
28,4,,
27,13,0.689241246989718,1
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
