Iteration,SampleCount,S_ABIO_ZONE,S_ABIO_ZONE_Weight
56,50,,
55,153,1.376497230705164,147
54,70,0.8654482453361412,59
53,35,0.6472330489789804,31
52,24,0.8937086928485436,22
51,121,0.6657556555980711,118
50,75,1.1956138883683882,68
49,139,0.6116991605668903,125
48,152,0.690205516731859,135
47,212,0.5268550157054988,198
46,161,0.41376337096525323,143
45,64,0.6577236866964234,36
44,1208,0.45329416849323234,1203
43,150,0.33694051459346835,10
42,674,,
41,5,0.8575912929462817,4
40,1,,
39,3,,
38,1,,
37,7,,
36,28,,
35,3,0.16102385498326394,1
34,13,0.4708873201188024,4
33,15,0.6937680755822447,9
32,12,2.4370544536130976,1
31,56,0.44328285392509414,14
30,6,,
29,9,,
28,4,,
27,13,0.7256168172775928,1
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
