Iteration,SampleCount,S_ABIO_ZONE,S_ABIO_ZONE_Weight
56,52,,
55,147,0.20350618873428195,143
54,71,0.6774387431502934,56
53,34,0.5284949222567946,27
52,25,1.121618820730852,19
51,121,1.5106222782973446,115
50,85,437945238.07789433,75
49,136,26.824986316176247,129
48,149,2.38597253231546,136
47,201,2.43033797241545,188
46,180,9.285661764759357,152
45,55,2.9567268195759473,36
44,1213,0.6382242547998974,1208
43,144,0.4074611800930062,9
42,676,0.22938974797530465,1
41,4,,
40,1,,
39,3,,
38,1,,
37,7,,
36,28,,
35,3,2.3472615820012765,1
34,13,0.34477142766588675,4
33,15,1.3003706140223612,9
32,13,0.973963354444368,2
31,53,1.113338431893385,12
30,8,,
29,9,,
28,4,,
27,13,1.8174399136361192,1
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
