Iteration,SampleCount,S_ABIO_ZONE,S_ABIO_ZONE_Weight
56,48,,
55,147,0.6673599707513804,139
54,75,0.465801256520976,56
53,35,0.47203032152355306,28
52,30,0.5923208950838204,25
51,112,,
50,87,0.9795821068672022,74
49,139,0.41081008449469925,131
48,148,0.44397395832972947,137
47,202,0.24817289947979798,190
46,178,0.276458338521261,152
45,56,0.35244357995323444,37
44,1215,0.2093531707266717,1211
43,141,0.10856581561595798,9
42,676,0.4655764238453264,1
41,3,,
40,2,,
39,3,,
38,1,,
37,7,,
36,28,,
35,2,,
34,14,0.39650482416571514,4
33,14,0.449615294379012,8
32,14,0.39406770056898544,2
31,52,0.27042159482483935,11
30,9,,
29,9,,
28,4,,
27,13,0.20347283561038854,1
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
