Iteration,SampleCount,S_ABIO_ZONE,S_ABIO_ZONE_Weight
56,51,,
55,141,1.566476446260965,136
54,82,1.6694913814788144,60
53,33,1.6799015939032027,30
52,28,1.5777578719593344,25
51,110,,
50,91,1.6937262519240717,76
49,137,1.3413183425570196,131
48,149,1.2554856914864512,138
47,201,1.4114524631722338,190
46,183,1.5611369264600767,157
45,48,1.4492507666721945,34
44,1205,1.2671074703699032,1198
43,152,1.1360102739533664,7
42,678,0.9086323506627001,1
41,4,,
40,1,,
39,3,,
38,1,,
37,7,,
36,28,,
35,3,1.9223424721012232,1
34,13,1.2075752038983203,4
33,14,1.41645805375,8
32,14,2.2922529605,2
31,56,1.1804275985334105,15
30,5,,
29,9,,
28,4,,
27,13,0.4394042168689112,1
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
