Iteration,SampleCount,S_ABIO_ZONE,S_ABIO_ZONE_Weight
56,45,,
55,158,0.9054811717048327,147
54,70,0.881360649333424,59
53,33,0.4945177956895892,29
52,26,0.7242170238583636,22
51,114,0.8435456182373116,111
50,85,0.75634087083989,71
49,138,0.8232397563450842,127
48,148,0.6016998671007798,133
47,212,0.518973969050139,196
46,172,0.4771897003520204,152
45,57,0.37034149219285795,38
44,1208,0.42363588419124204,1205
43,148,0.4334644747722323,10
42,675,0.8442614711066501,1
41,3,,
40,2,,
39,3,,
38,1,,
37,7,,
36,28,,
35,3,0.05696667747800463,1
34,13,0.3143075551951071,4
33,14,0.6165478020295452,8
32,14,0.5070598299308899,2
31,55,0.33103423230822054,14
30,6,,
29,9,,
28,4,,
27,13,0.323646657900285,1
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
