Iteration,SampleCount,S_ABIO_ZONE,S_ABIO_ZONE_Weight
56,46,2.8558672407555554,45
55,156,0.47760225697241376,145
54,66,0.1906783637735849,53
53,39,0.10944006413793106,29
52,24,0.06926053476499996,20
51,120,0.20494578324347826,115
50,81,0.17053356164788733,71
49,139,0.0822341829125,128
48,147,0.04916852545864663,133
47,209,0.06328206145544041,193
46,176,0.05101827917058823,153
45,53,0.039563775942857156,35
44,1222,0.06280112335197367,1216
43,137,0.04580092920000007,10
42,674,,
41,4,0.08218999999999976,3
40,2,,
39,3,,
38,1,,
37,7,,
36,28,,
35,3,0.0015722559999999906,1
34,13,0.04009029225000009,4
33,15,0.060620763888888735,9
32,13,0.0007861279999999953,2
31,55,0.023988633357142866,14
30,6,,
29,9,,
28,4,,
27,13,0.38658420000000016,1
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
