Iteration,SampleCount,S_ABIO_ZONE,S_ABIO_ZONE_Weight
56,51,,
55,152,0.7260900065036561,147
54,66,0.5237161120535477,55
53,39,0.3291405931640271,31
52,25,0.4840513534617908,23
51,114,0.4317775839374056,112
50,88,0.7115611990438612,75
49,135,0.40362491519797944,128
48,150,0.44233768026228876,136
47,202,0.24738207072435395,189
46,187,0.3123790638152196,160
45,44,0.1883296477308565,33
44,1203,0.19671931550059568,1195
43,158,0.16978236359135387,10
42,675,1.1071223566480304,1
41,2,,
40,3,,
39,3,,
38,1,,
37,7,,
36,28,,
35,3,0.13814187008265377,1
34,13,0.0673209323096127,4
33,15,0.4008785722903243,9
32,13,0.5697975771021844,2
31,55,0.3089209484612898,14
30,6,,
29,9,,
28,4,,
27,13,0.7346221373500468,1
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
