Iteration,SampleCount,S_ABIO_ZONE,S_ABIO_ZONE_Weight
56,52,1.1200095604748055,50
55,150,0.7270397261036698,144
54,72,0.4507741289091716,58
53,35,0.41554696929163915,30
52,24,0.634016514119698,21
51,115,0.555445618145998,111
50,86,0.6437441181959426,72
49,139,0.3955952362756358,129
48,153,0.37601975922195824,140
47,201,0.3286629475453393,192
46,173,0.4099546656180833,149
45,58,0.37764298007187114,36
44,1209,0.39965965691488414,1204
43,148,0.2759984766974471,9
42,676,0.024476278348212643,1
41,4,,
40,1,,
39,3,,
38,1,,
37,7,,
36,28,,
35,3,0.37906744334579906,1
34,13,0.41188458149144036,4
33,15,0.48077556265918386,9
32,12,0.1740874743146241,1
31,57,0.45801578388534353,15
30,5,,
29,9,,
28,4,,
27,13,0.6443990971966875,1
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
