Iteration,SampleCount,S_ABIO_ZONE,S_ABIO_ZONE_Weight
56,51,0.8507920910818939,50
55,150,0.8082071831119715,144
54,70,0.5787959926563119,56
53,36,0.46876987161158473,29
52,25,0.5159165952528787,21
51,117,0.5390020400292785,113
50,88,0.6379136210166062,76
49,135,0.38819922510534205,129
48,148,0.3686747525779386,135
47,204,0.347628901474193,190
46,177,0.4108121656025861,151
45,55,0.31636143705621156,35
44,1214,0.3877168515594222,1208
43,144,0.29418506973210395,9
42,675,,
41,4,0.16681477157360933,3
40,2,,
39,3,,
38,1,,
37,7,,
36,28,,
35,3,0.6643932988512886,1
34,13,0.4331742159753981,4
33,16,0.5625970294812295,10
32,12,0.19358303578387165,2
31,54,0.4948488043679967,13
30,7,,
29,9,,
28,4,,
27,13,0.6011752312828931,1
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
