Iteration,SampleCount,S_ABIO_ZONE,S_ABIO_ZONE_Weight
56,54,,
55,152,0.9883315113028688,150
54,63,0.587051656586918,55
53,38,0.6272098689500902,30
52,25,0.7821257839560771,22
51,119,0.6072689901176647,116
50,88,0.6922000029670838,79
49,133,0.4438957912777771,130
48,146,0.4789709389833735,134
47,200,0.4546535004247235,185
46,173,0.4398176174948797,142
45,67,0.3136504612864503,38
44,1200,0.5590012872125727,1197
43,156,0.4968901049501257,10
42,675,1.2694703740761129,1
41,4,,
40,1,,
39,3,,
38,1,,
37,7,,
36,28,,
35,3,0.9992820333390298,1
34,13,0.3482206402409471,4
33,15,0.6067085039825979,9
32,13,0.3008174653508568,2
31,56,0.7506352474824116,15
30,5,,
29,9,,
28,4,,
27,13,0.28803207204770365,1
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
