Iteration,SampleCount,S_ABIO_ZONE,S_ABIO_ZONE_Weight
56,50,,
55,143,1.6141606085698645,137
54,81,1.6220960966816225,60
53,32,1.617508226648785,29
52,26,1.6647637031359184,22
51,115,1.6785914682223402,112
50,88,1.673723174680095,75
49,135,1.38705424207669,128
48,151,1.2613396974360276,137
47,207,1.3986084911343186,195
46,179,1.638613644986689,158
45,52,1.4550888353851585,39
44,1198,1.2506920912869814,1196
43,157,1.4731529580285683,10
42,675,0.9171552915176608,1
41,4,,
40,1,,
39,3,,
38,1,,
37,7,,
36,28,,
35,3,1.9308524954950514,1
34,12,1.2950999509057348,3
33,14,1.3489791498459358,7
32,15,2.2922529605,2
31,53,1.1722893101197562,12
30,8,,
29,9,,
28,4,,
27,13,0.429036815279084,1
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
