Iteration,SampleCount,S_ABIO_ZONE,S_ABIO_ZONE_Weight
56,50,0.8398396078125109,49
55,149,0.5878856621884287,142
54,72,0.9784511779658573,56
53,35,0.2933108397039593,28
52,26,0.5728959927800091,21
51,120,0.8361293517618564,116
50,86,367163384.1465703,77
49,131,16.132184648274936,126
48,150,75.85776398435773,134
47,203,2.6776436142954267,188
46,181,1922.6450742833977,153
45,52,9738.640360110148,34
44,1219,79765.45747966034,1212
43,141,99310.91782483301,10
42,675,2116500.819846895,1
41,3,,
40,2,,
39,3,,
38,1,,
37,7,,
36,28,,
35,2,,
34,13,196329.95861429084,3
33,16,72600.43101604484,9
32,13,895008.6695205616,2
31,56,641139.6130057488,15
30,5,,
29,9,,
28,4,,
27,13,670330.3870282287,1
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
