Iteration,SampleCount,S_ABIO_ZONE,S_ABIO_ZONE_Weight
56,47,,
55,145,0.972867003766101,136
54,77,0.7635765894240713,55
53,40,0.34917660318136107,32
52,23,0.5753899505743874,22
51,116,0.6733605204394993,113
50,89,0.565938477744545,77
49,133,0.4918756499765431,128
48,149,0.6042382195791886,135
47,210,0.5138764206210551,196
46,177,0.5845412932200595,157
45,51,0.40543671914294277,37
44,1207,0.5189034880326593,1203
43,148,0.4857640154063969,8
42,677,0.9166229608516573,1
41,4,,
40,1,,
39,3,,
38,1,,
37,7,,
36,28,,
35,3,0.8941485488362316,1
34,13,0.26065961446524805,4
33,14,0.40195476233237765,8
32,13,0.448686269695842,1
31,55,0.8842250998480915,13
30,7,,
29,9,,
28,4,,
27,13,0.1401314663132105,1
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
