Iteration,SampleCount,S_ABIO_ZONE,S_ABIO_ZONE_Weight
56,51,0.8805010464799999,50
55,151,0.4462541981172414,145
54,66,0.1674192662264151,53
53,41,0.06774496693548389,31
52,25,0.08774541205652175,23
51,111,0.19623258101834862,109
50,92,0.11823525584210526,76
49,129,0.08899285794959354,123
48,152,0.05734423202255639,133
47,208,0.05075958199635413,192
46,184,0.05879838437937498,160
45,49,0.039910396342105275,38
44,1203,0.06587788972916667,1200
43,152,0.009125490111111094,9
42,676,0.0,1
41,4,,
40,1,,
39,3,,
38,1,,
37,7,,
36,28,,
35,3,0.0003546599999999997,1
34,13,0.010078452249999991,4
33,16,0.072289707,10
32,12,0.0006389374999999971,2
31,56,0.03174952460000003,15
30,5,,
29,9,,
28,4,,
27,13,0.4397812000000001,1
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
