Iteration,SampleCount,S_ABIO_ZONE,S_ABIO_ZONE_Weight
56,48,,
55,148,1.0345054840629673,140
54,75,0.7248949124099906,57
53,36,0.7196104549320166,30
52,26,0.6989176816066468,23
51,117,0.7458004501544918,115
50,90,1.0022900651567708,80
49,132,0.9179201995400058,130
48,147,0.7997868342987734,135
47,208,0.8213833410028627,194
46,170,0.8571366911787267,148
45,56,0.7311943639591364,33
44,1213,0.8391643278054124,1205
43,145,0.4894345509829484,7
42,677,,
41,4,0.24737967405050684,3
40,2,,
39,3,,
38,1,,
37,7,,
36,28,,
35,3,0.5686034798407432,1
34,13,0.32018694351870924,4
33,16,0.7029740823537375,10
32,12,0.7404839453884047,2
31,54,0.45402862974775166,13
30,7,,
29,9,,
28,4,,
27,13,0.3696539644406589,1
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
