Iteration,SampleCount,S_ABIO_ZONE,S_ABIO_ZONE_Weight
56,54,,
55,139,0.9963270189169358,137
54,77,0.702516818240391,56
53,37,0.7457980629154801,30
52,23,0.8019250882906195,20
51,114,0.7839420771487672,109
50,90,0.9325360687732545,74
49,137,0.8725121597510931,129
48,144,0.843843338291952,131
47,213,0.828625976110039,195
46,174,0.8366588076245217,153
45,55,0.7787537702306835,37
44,1217,0.8106600972880759,1213
43,140,0.4266377744989059,10
42,675,0.4611868605468492,1
41,2,,
40,3,,
39,3,,
38,1,,
37,7,,
36,28,,
35,3,0.2518749224504588,1
34,12,0.3614302567457351,3
33,16,0.699484460265586,9
32,13,0.663663003807597,2
31,53,0.337925545227227,12
30,8,,
29,9,,
28,4,,
27,13,0.050772721660694575,1
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
