Iteration,SampleCount,P_POTENTIAL,P_POTENTIAL_Weight
56,50,,
55,146,33.07609543283047,140
54,75,10.96542304711447,57
53,36,4.726014250086993,30
52,28,11.486047351948205,25
51,113,,
50,91,6.494506747719121,21
49,144,1.43090141715771,2
48,150,7.1043915867248595,14
47,215,,
46,171,30.415594938795692,1
45,41,,
44,1343,,
43,11,,
42,675,,
41,4,,
40,1,,
39,3,,
38,1,,
37,4,,
36,29,7.619527830166983,26
35,5,,
34,12,4.296995949688406,3
33,17,1.3204202068435613,1
32,11,6.694023993849197,6
31,57,,
30,5,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
