Iteration,SampleCount,P_POTENTIAL,P_POTENTIAL_Weight
56,50,27.552183200612248,49
55,147,17.89577883151299,140
54,74,15.67330422744175,56
53,38,16.276372369533835,31
52,25,22.57653284131155,23
51,118,20.350837222296548,116
50,87,11.55564580291503,20
49,146,22.48204250506872,3
48,148,18.040739783407883,13
47,216,,
46,171,158.5838362640858,1
45,41,,
44,1343,,
43,11,,
42,675,,
41,4,,
40,1,,
39,3,,
38,1,,
37,6,,
36,26,39.55080095044329,25
35,6,,
34,13,21.46271177619049,4
33,16,8.136029325078784,1
32,11,14.22886190307876,6
31,57,,
30,5,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
