Iteration,SampleCount,P_POTENTIAL,P_POTENTIAL_Weight
56,49,32.07453398354167,48
55,153,19.57989176575862,145
54,68,15.681713896382176,55
53,41,16.608084628426727,33
52,23,,
51,114,20.913159599904308,112
50,93,12.902034896382387,22
49,144,22.650182744055027,3
48,147,17.496333941979422,12
47,217,,
46,171,158.38740228872996,1
45,41,,
44,1343,,
43,11,,
42,675,,
41,4,,
40,1,,
39,3,,
38,1,,
37,7,,
36,24,,
35,7,,
34,11,22.032751766264255,2
33,18,8.350087803668817,1
32,11,13.837072479277555,6
31,57,,
30,5,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
