Iteration,SampleCount,P_POTENTIAL,P_POTENTIAL_Weight
56,50,,
55,149,14.007579856746728,143
54,73,11.405929311673484,58
53,31,11.104910728844738,26
52,30,14.961631794498825,23
51,115,12.777292873037116,113
50,93,13.255097928767348,23
49,142,19.902444717792893,2
48,149,10.986178337831115,13
47,216,,
46,171,29.55809636524586,1
45,41,,
44,1343,,
43,11,,
42,675,,
41,4,,
40,1,,
39,3,,
38,1,,
37,4,,
36,29,11.45279233098834,26
35,5,,
34,12,12.347612000576303,3
33,17,17.675569990266194,1
32,12,14.446966165765943,7
31,56,,
30,5,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
