Iteration,SampleCount,P_POTENTIAL,P_POTENTIAL_Weight
56,49,,
55,150,2.690564686713287,143
54,74,0.8411963983050854,59
53,34,0.5986699603333334,30
52,24,1.562917785714285,21
51,114,1.2521870290909096,110
50,92,0.24861152105263218,19
49,147,0.17756666999999998,3
48,149,0.09560719285714299,14
47,215,,
46,171,54.196650000000005,1
45,41,,
44,1343,,
43,11,,
42,675,,
41,4,,
40,1,,
39,2,,
38,2,1.082239000000003,1
37,6,,
36,28,4.552068633703704,27
35,4,,
34,13,0.11267066749999952,4
33,16,0.4576060000000002,1
32,12,1.2986509542857152,7
31,56,,
30,5,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
