Iteration,SampleCount,P_POTENTIAL,P_POTENTIAL_Weight
56,54,24.862327572264153,53
55,141,17.400437967913046,138
54,80,7.5665587639666665,60
53,34,5.658031835574192,31
52,25,13.752915129286956,23
51,112,10.44902359256,110
50,95,4.232851980127272,22
49,144,1.7381013053333334,3
48,148,2.9577226632615385,13
47,216,,
46,171,105.08118208399999,1
45,41,,
44,1343,,
43,11,,
42,675,,
41,4,,
40,1,,
39,2,,
38,2,10.800545279999998,1
37,7,,
36,25,,
35,6,,
34,12,1.0578657463263998,3
33,17,6.050019860000003,1
32,10,2.276406590619136,5
31,58,,
30,5,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
