Iteration,SampleCount,P_POTENTIAL,P_POTENTIAL_Weight
56,46,,
55,149,17.977844019438848,139
54,76,7.612114335192982,57
53,34,6.319474932299999,28
52,28,15.865295029979132,23
51,120,10.67160330458712,118
50,88,4.9098368908869565,23
49,143,2.170048964112,3
48,147,2.941666040036267,12
47,217,,
46,171,112.08621459919999,1
45,41,,
44,1343,,
43,11,,
42,675,,
41,4,,
40,1,,
39,2,,
38,2,12.872581200000003,1
37,6,,
36,28,16.695557502356785,27
35,4,,
34,13,2.2667432191432,4
33,16,7.032573096064002,1
32,11,4.0125652732145705,6
31,57,,
30,5,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
