Iteration,SampleCount,P_POTENTIAL,P_POTENTIAL_Weight
56,49,26.26211736402903,48
55,150,12.977730089561229,142
54,76,6.983116706246003,60
53,32,7.212834604754574,29
52,28,9.270708373360982,24
51,119,6.873149528906718,118
50,87,7.673490928081089,22
49,143,17.784255960335656,2
48,146,7.196536381768988,10
47,219,,
46,170,,
45,42,,
44,1343,,
43,11,,
42,675,,
41,4,,
40,1,,
39,3,,
38,1,,
37,6,,
36,26,7.325834261905288,25
35,6,,
34,12,8.756061965476544,3
33,17,0.7258953840265452,1
32,9,11.72984856692873,4
31,59,,
30,5,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
