Iteration,SampleCount,P_POTENTIAL,P_POTENTIAL_Weight
56,50,,
55,149,8.560943320662076,143
54,74,4.063267447770055,59
53,32,6.393120186990599,28
52,23,7.05280620011515,18
51,122,8.360256797630338,115
50,91,6.89988452214589,23
49,143,7.894547618097711,3
48,148,4.68085403852882,13
47,216,,
46,171,18.949072306419055,1
45,41,,
44,1343,,
43,11,,
42,675,,
41,4,,
40,1,,
39,3,,
38,1,,
37,6,,
36,26,7.091643130693523,25
35,6,,
34,12,9.243424561177939,3
33,16,,
32,12,4.707226336394638,6
31,57,,
30,5,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
